?????,Customer_ID,Transaction_Date,Deposit_Amount
161,C00032,1/27/2024,200
162,C00548,8/14/2023,300
163,C00528,10/22/2023,50
164,C00648,4/16/2023,500
165,C00428,8/16/2023,2000
166,C00398,1/27/2024,100
167,C00351,1/4/2024,2000
168,C00838,10/3/2023,500
169,C00581,4/26/2023,100
170,C00115,9/10/2023,50
171,C00596,7/17/2023,100
172,C00344,11/27/2023,50
173,C00917,7/28/2023,50
174,C00812,8/10/2023,100
175,C00812,5/27/2023,200
176,C00774,8/12/2023,2000
177,C00510,3/25/2023,50
178,C00266,10/17/2023,1000
179,C00862,5/18/2023,1000
180,C00907,1/25/2024,200
181,C00183,12/27/2023,200
182,C00745,11/27/2023,100
183,C00203,10/7/2023,50
184,C00029,10/10/2023,100
185,C00772,5/25/2023,300
186,C00295,6/6/2023,300
187,C00175,5/9/2023,2000
188,C00432,6/9/2023,200
189,C00876,3/25/2023,50
190,C00740,8/8/2023,50
191,C00278,8/9/2023,1000
192,C00540,11/27/2023,50
193,C00846,6/27/2023,300
194,C00925,4/17/2023,300
195,C00278,2/7/2024,100
196,C00733,11/8/2023,200
197,C00623,7/30/2023,1000
198,C00131,8/7/2023,5000
199,C00602,1/29/2024,1000
200,C00168,10/25/2023,1000
201,C00128,8/26/2023,300
202,C00984,2/25/2024,500
203,C00682,3/29/2023,300
204,C00308,12/17/2023,500
205,C00653,12/13/2023,200
206,C00448,7/4/2023,50
207,C00859,10/11/2023,300
208,C00674,9/17/2023,300
209,C00947,3/5/2023,100
210,C00160,12/1/2023,200
211,C00917,9/29/2023,300
212,C00295,3/24/2023,50
213,C00774,2/12/2024,50
214,C00753,8/25/2023,50
215,C00793,7/14/2023,500
216,C00838,5/11/2023,500
217,C00147,10/22/2023,200
218,C00165,10/14/2023,50
219,C00862,1/8/2024,100
220,C00678,7/30/2023,200
221,C00438,12/24/2023,200
222,C00904,1/8/2024,2000
223,C00375,8/9/2023,50
224,C00160,7/9/2023,1000
225,C00386,1/9/2024,100
226,C00436,3/20/2023,500
227,C00521,9/4/2023,1000
228,C00424,10/27/2023,200
229,C00662,12/4/2023,50
230,C00606,7/28/2023,50
231,C00803,8/28/2023,50
232,C00787,8/4/2023,200
233,C00161,9/19/2023,50
234,C00483,6/8/2023,100
235,C00108,3/11/2023,100
236,C00215,9/19/2023,500
237,C00724,10/23/2023,500
238,C00856,11/3/2023,300
239,C00484,11/11/2023,200
240,C00915,4/27/2023,500
241,C00656,4/6/2023,300
242,C00019,3/12/2023,100
243,C00163,10/27/2023,1000
244,C00331,5/28/2023,300
245,C00353,1/11/2024,500
246,C00407,1/3/2024,200
247,C00880,8/13/2023,50
248,C00679,5/16/2023,300
249,C00991,8/15/2023,50
250,C00526,4/1/2023,100
251,C00675,8/10/2023,500
252,C00290,2/26/2024,50
253,C00014,11/3/2023,50
254,C00497,2/5/2024,500
255,C00090,5/11/2023,300
256,C00652,7/22/2023,100
257,C00039,4/10/2023,2000
258,C00047,12/29/2023,200
259,C00202,1/26/2024,200
260,C00639,1/2/2024,50
261,C00979,9/27/2023,1000
262,C00778,3/20/2023,200
263,C00600,8/20/2023,1000
264,C00872,12/18/2023,300
265,C00327,5/18/2023,500
266,C00424,1/7/2024,50
267,C00945,12/11/2023,200
268,C00417,6/23/2023,1000
269,C00301,12/26/2023,500
270,C00831,5/28/2023,50
271,C00500,12/18/2023,500
272,C00914,6/7/2023,50
273,C00212,5/27/2023,1000
274,C00024,6/23/2023,50
275,C00022,2/1/2024,200
276,C00064,11/15/2023,1000
277,C00763,10/19/2023,300
278,C00414,2/10/2024,50
279,C00442,7/9/2023,50
280,C00853,12/24/2023,1000
281,C00295,6/23/2023,50
282,C00203,8/16/2023,100
283,C00531,3/11/2023,1000
284,C00972,6/15/2023,100
285,C00989,6/18/2023,300
286,C00116,4/19/2023,300
287,C00894,10/23/2023,50
288,C00805,12/13/2023,100
289,C00815,1/30/2024,300
290,C00331,12/4/2023,300
291,C00018,2/14/2024,300
292,C00243,9/6/2023,200
293,C00179,4/19/2023,300
294,C00805,3/30/2023,50
295,C00183,5/30/2023,200
296,C00614,5/28/2023,5000
297,C00297,7/3/2023,50
298,C00255,12/9/2023,1000
299,C00807,11/30/2023,500
300,C00782,6/9/2023,2000
301,C00856,1/8/2024,50
302,C00281,3/6/2023,2000
303,C00207,2/17/2024,200
304,C00109,3/26/2023,300
305,C00120,10/10/2023,500
306,C00879,3/25/2023,500
307,C00542,3/22/2023,500
308,C00746,5/3/2023,200
309,C00236,12/25/2023,100
310,C00601,2/18/2024,200
311,C00175,3/3/2023,300
312,C00756,8/28/2023,200
313,C00622,1/7/2024,200
314,C00258,5/7/2023,500
315,C00450,9/20/2023,100
316,C00169,5/21/2023,50
317,C00745,11/21/2023,500
318,C00748,3/1/2023,200
319,C00673,3/29/2023,100
320,C00617,10/3/2023,2000
321,C00002,1/3/2024,5000
322,C00513,12/24/2023,500
323,C00507,6/7/2023,1000
324,C00218,9/24/2023,2000
325,C00277,5/27/2023,2000
326,C00846,6/5/2023,300
327,C00044,2/11/2024,300
328,C00563,10/3/2023,100
329,C00693,2/8/2024,50
330,C00777,2/21/2024,200
331,C00525,1/28/2024,50
332,C00518,11/12/2023,500
333,C00693,11/27/2023,300
334,C00870,7/20/2023,1000
335,C00437,5/10/2023,100
336,C00748,2/9/2024,300
337,C00011,10/26/2023,1000
338,C00463,1/26/2024,200
339,C00007,7/10/2023,5000
340,C00006,1/31/2024,200
341,C00523,10/29/2023,100
342,C00564,10/4/2023,100
343,C00009,10/14/2023,200
344,C00594,9/6/2023,200
345,C00987,4/18/2023,100
346,C00792,8/20/2023,1000
347,C00835,11/12/2023,200
348,C00780,4/22/2023,1000
349,C00798,8/14/2023,50
350,C00473,6/21/2023,1000
351,C00796,3/19/2023,200
352,C00968,10/9/2023,1000
353,C00008,1/1/2024,50
354,C00220,11/8/2023,300
355,C00581,2/5/2024,100
356,C00710,3/6/2023,300
357,C00407,12/3/2023,200
358,C00422,3/10/2023,50
359,C00674,10/27/2023,300
360,C00939,1/22/2024,300
361,C00448,5/14/2023,200
362,C00892,11/16/2023,100
363,C00459,4/17/2023,100
364,C00883,11/27/2023,50
365,C00813,8/1/2023,1000
366,C00377,10/11/2023,50
367,C00848,2/28/2024,200
368,C00455,11/22/2023,500
369,C00070,10/23/2023,1000
370,C00123,3/21/2023,300
371,C00149,7/23/2023,50
372,C00047,7/22/2023,500
373,C00808,3/3/2023,100
374,C00038,9/2/2023,100
375,C00133,1/30/2024,500
376,C00325,10/1/2023,500
377,C00131,4/23/2023,1000
378,C00907,1/8/2024,1000
379,C00900,9/24/2023,100
380,C00068,1/1/2024,500
381,C00284,7/19/2023,2000
382,C00400,6/1/2023,50
383,C00632,8/18/2023,5000
384,C00038,5/24/2023,2000
385,C00199,2/21/2024,5000
386,C00861,4/11/2023,200
387,C00901,11/20/2023,100
388,C00440,9/24/2023,200
389,C00130,7/18/2023,50
390,C00170,5/14/2023,50
391,C00704,1/23/2024,500
392,C00521,4/10/2023,200
393,C00023,6/9/2023,50
394,C00205,4/25/2023,300
395,C00205,11/1/2023,300
396,C00997,6/25/2023,50
397,C00734,1/21/2024,200
398,C00410,7/23/2023,50
399,C00091,3/3/2023,500
400,C00502,4/7/2023,100
401,C00310,3/23/2023,100
402,C00105,1/10/2024,100
403,C00543,3/15/2023,100
404,C00175,9/26/2023,500
405,C00538,12/26/2023,200
406,C00773,2/22/2024,200
407,C00329,1/11/2024,50
408,C00237,3/9/2023,1000
409,C00545,4/10/2023,300
410,C00718,5/21/2023,500
411,C00455,8/2/2023,50
412,C00656,6/12/2023,50
413,C00590,4/17/2023,500
414,C00420,11/18/2023,500
415,C00318,1/13/2024,500
416,C00489,12/17/2023,500
417,C00250,2/21/2024,200
418,C00868,1/6/2024,5000
419,C00181,5/12/2023,50
420,C00900,1/4/2024,500
421,C00342,11/7/2023,200
422,C00696,2/18/2024,1000
423,C00674,4/28/2023,200
424,C00999,8/9/2023,100
425,C00997,2/11/2024,500
426,C00035,9/2/2023,200
427,C00365,12/1/2023,100
428,C00880,7/24/2023,5000
429,C00320,8/1/2023,1000
430,C00295,11/23/2023,100
431,C00086,10/22/2023,500
432,C00685,11/21/2023,300
433,C00182,5/28/2023,100
434,C00389,9/18/2023,300
435,C00484,6/10/2023,50
436,C00248,6/3/2023,5000
437,C00789,11/8/2023,100
438,C00427,6/21/2023,500
439,C00764,12/28/2023,100
440,C00391,6/17/2023,200
441,C00913,4/22/2023,500
442,C00002,4/26/2023,200
443,C00346,7/6/2023,50
444,C00991,12/1/2023,100
445,C00096,2/22/2024,50
446,C00998,11/23/2023,500
447,C00911,2/21/2024,200
448,C00381,12/20/2023,1000
449,C00751,1/11/2024,1000
450,C00122,6/7/2023,100
451,C00117,1/26/2024,100
452,C00224,2/11/2024,50
453,C00251,8/10/2023,200
454,C00023,8/5/2023,100
455,C00662,5/10/2023,1000
456,C00226,10/28/2023,1000
457,C00170,10/25/2023,100
458,C00533,6/5/2023,50
459,C00491,5/19/2023,50
460,C00682,7/9/2023,50
461,C00618,4/22/2023,2000
462,C00656,8/25/2023,500
463,C00494,12/26/2023,1000
464,C00615,6/2/2023,1000
465,C00415,12/16/2023,200
466,C00355,3/23/2023,100
467,C00854,9/10/2023,500
468,C00323,10/21/2023,500
469,C00602,4/12/2023,100
470,C00716,3/2/2023,50
471,C00221,1/27/2024,300
472,C00085,5/1/2023,200
473,C00732,1/21/2024,50
474,C00362,8/3/2023,50
475,C00278,12/9/2023,1000
476,C00010,1/25/2024,1000
477,C00895,12/16/2023,100
478,C00015,5/11/2023,500
479,C00756,1/7/2024,100
480,C00902,12/6/2023,100
481,C00752,2/29/2024,200
482,C00733,3/5/2023,50
483,C00882,3/11/2023,200
484,C00067,5/20/2023,300
485,C00226,10/6/2023,50
486,C00287,11/13/2023,500
487,C00928,6/29/2023,100
488,C00004,3/5/2023,500
489,C00342,2/17/2024,50
490,C00710,12/25/2023,50
491,C00374,12/16/2023,2000
492,C00359,9/23/2023,50
493,C00739,1/3/2024,50
494,C00640,4/15/2023,100
495,C00026,11/27/2023,500
496,C00715,1/16/2024,50
497,C00074,10/7/2023,300
498,C00048,4/20/2023,500
499,C00500,2/9/2024,2000
500,C00783,10/9/2023,50
501,C00305,3/29/2023,200
502,C00518,12/9/2023,50
503,C00687,5/13/2023,300
504,C00843,11/6/2023,100
505,C00079,12/12/2023,100
506,C00597,11/4/2023,100
507,C00421,4/3/2023,50
508,C00996,3/8/2023,500
509,C00828,10/7/2023,50
510,C00205,8/3/2023,300
511,C00116,12/13/2023,500
512,C00012,7/20/2023,50
513,C00585,11/9/2023,1000
514,C00335,1/10/2024,100
515,C00755,11/30/2023,100
516,C00455,3/15/2023,200
517,C00891,10/12/2023,100
518,C00767,11/20/2023,1000
519,C00622,3/30/2023,200
520,C00199,6/26/2023,50
521,C00948,2/9/2024,50
522,C00576,2/22/2024,50
523,C00612,2/1/2024,200
524,C00793,4/17/2023,500
525,C00574,8/10/2023,500
526,C00561,2/21/2024,300
527,C00752,6/16/2023,500
528,C00371,10/18/2023,50
529,C00070,11/19/2023,1000
530,C00645,6/27/2023,500
531,C00748,8/29/2023,300
532,C00215,8/27/2023,1000
533,C00590,12/22/2023,500
534,C00066,2/11/2024,500
535,C00927,11/29/2023,100
536,C00400,12/5/2023,50
537,C00771,9/25/2023,500
538,C00959,10/15/2023,200
539,C00596,11/18/2023,100
540,C00778,8/1/2023,500
541,C00605,7/22/2023,2000
542,C00749,5/4/2023,300
543,C00567,4/8/2023,5000
544,C00608,3/3/2023,300
545,C00295,6/24/2023,300
546,C00482,5/1/2023,300
547,C00149,2/12/2024,300
548,C00585,2/25/2024,50
549,C00134,12/22/2023,50
550,C00994,9/12/2023,300
551,C00973,7/3/2023,2000
552,C00235,4/21/2023,200
553,C00719,4/15/2023,500
554,C00929,2/6/2024,50
555,C00939,2/10/2024,1000
556,C00708,3/10/2023,100
557,C00585,6/12/2023,200
558,C00721,9/24/2023,300
559,C00041,7/27/2023,1000
560,C00268,12/17/2023,200
561,C00942,7/21/2023,500
562,C00319,6/15/2023,1000
563,C00282,8/14/2023,50
564,C00170,8/22/2023,200
565,C00575,12/19/2023,200
566,C00046,8/27/2023,200
567,C00661,9/23/2023,50
568,C00671,3/6/2023,50
569,C00850,1/21/2024,500
570,C00703,6/2/2023,200
571,C00186,12/24/2023,50
572,C00335,2/29/2024,50
573,C00997,12/12/2023,100
574,C00794,12/5/2023,300
575,C00114,4/29/2023,200
576,C00339,11/13/2023,500
577,C00269,9/8/2023,50
578,C00572,3/9/2023,100
579,C00889,11/3/2023,50
580,C00986,11/12/2023,50
581,C00824,3/11/2023,200
582,C00860,2/13/2024,100
583,C00846,12/19/2023,300
584,C00256,5/18/2023,100
585,C00579,4/20/2023,1000
586,C00845,5/18/2023,1000
587,C00499,9/18/2023,2000
588,C00663,8/30/2023,100
589,C00277,4/29/2023,2000
590,C00618,2/8/2024,1000
591,C00808,2/11/2024,5000
592,C00229,2/1/2024,100
593,C00588,11/1/2023,200
594,C00417,12/27/2023,1000
595,C00652,5/25/2023,2000
596,C00585,12/30/2023,200
597,C00304,1/5/2024,1000
598,C00098,6/14/2023,2000
599,C00450,10/9/2023,100
600,C00783,9/8/2023,500
601,C00027,8/7/2023,50
602,C00761,10/2/2023,100
603,C00035,9/12/2023,50
604,C00084,9/7/2023,100
605,C00851,9/29/2023,50
606,C00605,6/26/2023,300
607,C00670,9/27/2023,1000
608,C00149,4/27/2023,100
609,C00592,6/6/2023,1000
610,C00548,6/8/2023,1000
611,C00774,5/28/2023,50
612,C00120,8/14/2023,50
613,C00233,10/29/2023,100
614,C00310,4/20/2023,50
615,C00420,3/18/2023,500
616,C00573,9/22/2023,100
617,C00634,7/23/2023,500
618,C00428,12/31/2023,2000
619,C00883,12/1/2023,200
620,C00497,4/27/2023,50
621,C00910,1/20/2024,100
622,C00091,5/17/2023,50
623,C00805,10/29/2023,500
624,C00498,6/1/2023,50
625,C00110,4/21/2023,500
626,C00989,10/20/2023,200
627,C00471,6/20/2023,5000
628,C00035,10/24/2023,500
629,C00808,8/23/2023,300
630,C00001,1/6/2024,300
631,C00613,8/20/2023,50
632,C00419,1/4/2024,100
633,C00148,2/11/2024,1000
634,C00735,1/15/2024,50
635,C00530,12/3/2023,500
636,C00428,8/18/2023,200
637,C00930,2/17/2024,500
638,C00273,1/30/2024,1000
639,C00009,12/29/2023,1000
640,C00719,5/6/2023,1000
641,C00044,9/11/2023,1000
642,C00462,7/20/2023,300
643,C00743,1/19/2024,500
644,C01000,4/19/2023,300
645,C00277,11/9/2023,50
646,C00255,3/26/2023,50
647,C00094,9/4/2023,50
648,C00837,4/6/2023,1000
649,C00108,5/2/2023,50
650,C00849,1/16/2024,200
651,C00704,5/22/2023,50
652,C00876,9/19/2023,50
653,C00756,9/2/2023,500
654,C00921,6/3/2023,2000
655,C00730,12/29/2023,1000
656,C00279,7/12/2023,200
657,C00547,6/13/2023,2000
658,C00817,5/11/2023,100
659,C00401,3/26/2023,50
660,C00745,11/1/2023,300
661,C00208,5/17/2023,50
662,C00506,4/6/2023,200
663,C00162,11/19/2023,500
664,C00114,8/5/2023,300
665,C00903,9/28/2023,50
666,C00646,10/21/2023,200
667,C00695,11/23/2023,50
668,C00159,9/17/2023,100
669,C00237,7/9/2023,200
670,C00524,4/5/2023,1000
671,C00057,7/20/2023,2000
672,C00208,12/5/2023,50
673,C00073,2/28/2024,1000
674,C00992,12/1/2023,100
675,C00217,10/29/2023,300
676,C00288,11/29/2023,200
677,C00041,5/28/2023,2000
678,C00853,10/30/2023,50
679,C00847,2/9/2024,100
680,C00016,3/14/2023,1000
681,C00728,1/23/2024,100
682,C00783,11/19/2023,500
683,C00289,11/2/2023,100
684,C00607,3/15/2023,1000
685,C00624,7/31/2023,100
686,C00479,6/24/2023,50
687,C00211,7/27/2023,200
688,C00372,3/11/2023,200
689,C00093,10/22/2023,50
690,C00196,3/11/2023,5000
691,C00140,10/26/2023,300
692,C00033,12/14/2023,500
693,C00661,4/7/2023,5000
694,C00311,7/20/2023,100
695,C00721,12/5/2023,50
696,C00393,11/26/2023,200
697,C00907,4/25/2023,1000
698,C00739,7/12/2023,500
699,C00336,5/21/2023,100
700,C00458,2/8/2024,100
701,C00338,3/25/2023,100
702,C00436,3/15/2023,100
703,C00445,9/11/2023,100
704,C00295,5/9/2023,200
705,C00570,3/27/2023,50
706,C00166,7/7/2023,300
707,C00409,9/6/2023,100
708,C00552,7/30/2023,500
709,C00007,12/28/2023,300
710,C00274,6/14/2023,100
711,C00687,4/24/2023,500
712,C00413,1/25/2024,500
713,C00135,1/27/2024,500
714,C00170,11/23/2023,100
715,C00164,12/22/2023,50
716,C00911,1/14/2024,1000
717,C00629,8/7/2023,100
718,C00897,5/1/2023,5000
719,C00891,11/20/2023,300
720,C00303,1/5/2024,1000
721,C00906,3/6/2023,50
722,C00516,9/17/2023,50
723,C00749,6/6/2023,100
724,C00848,10/20/2023,1000
725,C00191,3/5/2023,1000
726,C00579,3/1/2023,500
727,C00962,10/2/2023,50
728,C00190,11/28/2023,1000
729,C00506,11/25/2023,300
730,C00430,10/8/2023,50
731,C00265,10/7/2023,50
732,C00116,2/15/2024,100
733,C00250,10/12/2023,100
734,C00964,7/8/2023,50
735,C00231,9/7/2023,500
736,C00437,11/19/2023,500
737,C00674,6/29/2023,300
738,C00114,7/22/2023,1000
739,C00772,6/18/2023,200
740,C00690,12/3/2023,500
741,C00228,2/28/2024,1000
742,C00587,5/27/2023,5000
743,C00964,8/15/2023,1000
744,C00233,4/14/2023,100
745,C00221,12/9/2023,500
746,C00588,8/4/2023,300
747,C00983,7/22/2023,50
748,C00923,5/2/2023,5000
749,C00702,4/27/2023,500
750,C00660,8/9/2023,1000
751,C00441,12/24/2023,500
752,C00982,3/17/2023,200
753,C00631,10/14/2023,100
754,C00383,8/18/2023,2000
755,C00281,11/21/2023,500
756,C00835,3/15/2023,300
757,C00263,10/4/2023,1000
758,C00445,8/20/2023,500
759,C00765,10/14/2023,500
760,C00792,8/20/2023,50
761,C00415,8/1/2023,500
762,C00119,3/23/2023,500
763,C00161,8/31/2023,200
764,C00332,1/6/2024,1000
765,C00370,6/4/2023,200
766,C00880,9/3/2023,300
767,C00167,4/9/2023,500
768,C00781,10/29/2023,1000
769,C00630,4/11/2023,500
770,C00951,5/14/2023,100
771,C00805,9/17/2023,200
772,C00862,5/12/2023,200
773,C00085,11/5/2023,5000
774,C00197,7/16/2023,100
775,C00229,9/1/2023,50
776,C00172,2/2/2024,2000
777,C00630,12/13/2023,1000
778,C00386,5/1/2023,100
779,C00438,7/23/2023,300
780,C00019,3/28/2023,50
781,C00625,3/22/2023,50
782,C00923,8/20/2023,200
783,C00051,1/2/2024,500
784,C00280,5/17/2023,100
785,C00757,10/19/2023,500
786,C00747,6/23/2023,1000
787,C00126,3/19/2023,100
788,C00282,4/10/2023,300
789,C00255,8/1/2023,5000
790,C00319,6/2/2023,500
791,C00706,2/25/2024,1000
792,C00944,1/5/2024,200
793,C00624,12/6/2023,300
794,C00027,1/15/2024,500
795,C00852,4/9/2023,100
796,C00339,12/31/2023,200
797,C00988,7/12/2023,300
798,C00645,6/17/2023,300
799,C00241,4/13/2023,300
800,C00509,3/17/2023,2000
801,C00737,6/30/2023,100
802,C00102,4/11/2023,100
803,C00208,9/23/2023,200
804,C00159,12/31/2023,2000
805,C00489,11/9/2023,100
806,C00014,3/19/2023,1000
807,C00605,6/26/2023,1000
808,C00036,1/2/2024,5000
809,C00483,3/26/2023,500
810,C00216,5/25/2023,500
811,C00002,5/2/2023,100
812,C00443,4/29/2023,5000
813,C00435,6/18/2023,200
814,C00667,5/8/2023,50
815,C00274,2/16/2024,100
816,C00896,9/5/2023,300
817,C00196,10/26/2023,50
818,C00612,3/1/2023,5000
819,C00250,8/9/2023,1000
820,C00903,6/17/2023,500
821,C00450,10/12/2023,50
822,C00108,10/8/2023,1000
823,C00381,6/14/2023,500
824,C00291,7/3/2023,2000
825,C00178,5/27/2023,2000
826,C00496,5/28/2023,50
827,C00681,7/1/2023,50
828,C00120,3/8/2023,50
829,C00825,1/26/2024,300
830,C00706,1/14/2024,100
831,C00207,1/9/2024,100
832,C00272,3/13/2023,200
833,C00792,8/26/2023,100
834,C00007,1/2/2024,300
835,C00509,9/4/2023,50
836,C00325,6/13/2023,50
837,C00463,7/2/2023,5000
838,C00652,7/19/2023,300
839,C00415,1/11/2024,200
840,C00084,2/1/2024,200
841,C00593,3/27/2023,2000
842,C00045,12/12/2023,50
843,C00299,11/30/2023,300
844,C00807,10/26/2023,50
845,C00736,10/16/2023,100
846,C00339,2/17/2024,100
847,C00956,5/16/2023,2000
848,C00117,8/4/2023,200
849,C00782,5/4/2023,100
850,C00994,9/29/2023,300
851,C00124,8/4/2023,500
852,C00737,5/11/2023,2000
853,C00302,4/18/2023,50
854,C00672,8/31/2023,100
855,C00245,7/18/2023,100
856,C00823,8/15/2023,50
857,C00888,5/28/2023,200
858,C00472,5/12/2023,300
859,C00481,3/28/2023,1000
860,C00170,10/21/2023,50
861,C00940,10/4/2023,200
862,C00810,12/6/2023,50
863,C00193,4/30/2023,300
864,C00291,7/19/2023,300
865,C00258,11/24/2023,1000
866,C00654,7/10/2023,500
867,C00265,2/1/2024,50
868,C00966,8/11/2023,200
869,C00665,5/28/2023,50
870,C00463,2/13/2024,50
871,C00048,2/3/2024,500
872,C00311,5/14/2023,200
873,C00176,1/23/2024,100
874,C00482,3/27/2023,2000
875,C00164,3/15/2023,1000
876,C00688,8/23/2023,200
877,C00360,2/15/2024,200
878,C00338,1/4/2024,100
879,C00913,4/4/2023,100
880,C00310,7/8/2023,100
881,C00033,11/9/2023,50
882,C00572,10/28/2023,300
883,C00892,3/12/2023,200
884,C00486,3/14/2023,200
885,C00497,10/14/2023,100
886,C00943,8/2/2023,1000
887,C00640,3/28/2023,50
888,C00711,12/19/2023,500
889,C00839,11/17/2023,500
890,C00581,3/17/2023,500
891,C00211,4/25/2023,500
892,C00063,1/20/2024,50
893,C00321,5/16/2023,100
894,C00682,12/22/2023,50
895,C00310,12/11/2023,50
896,C00993,5/20/2023,300
897,C00029,2/22/2024,50
898,C00673,6/13/2023,50
899,C00384,7/31/2023,2000
900,C00016,4/12/2023,200
901,C00637,11/3/2023,300
902,C00245,2/10/2024,300
903,C00438,10/10/2023,100
904,C00263,8/14/2023,50
905,C00139,3/17/2023,300
906,C00630,3/11/2023,1000
907,C00599,10/31/2023,100
908,C00612,6/12/2023,500
909,C00638,2/15/2024,100
910,C00255,8/14/2023,1000
911,C00990,7/4/2023,50
912,C00255,12/18/2023,2000
913,C01000,5/20/2023,1000
914,C00485,9/26/2023,100
915,C00902,8/2/2023,1000
